# family	folder	unit	phase	identifier	flows	packet-types	records	codecs	index
Common	ClearDialog	ClearDialog.Configuration	Configuration	clear_dialog	Clientbound	LoginFamilyPackets.Config.ClearDialog	ClientboundConfigClearDialogPacket	ConfigurationCodecs.ClearDialog	ConfigurationBindings
Common	ClientInformation	ClientInformation.Configuration	Configuration	client_information	Serverbound	ConfigurationPackets.Serverbound.ClientInformation	ServerboundClientInformationPacket	ConfigurationCodecs.ClientInformation,ConfigurationCodecs.ClientInformationV1_20_2	ConfigurationBindings
Common	CookieRequest	CookieRequest.Configuration	Configuration	cookie_request	Clientbound	LoginFamilyPackets.Config.CookieRequest	ClientboundConfigCookieRequestPacket	ConfigurationCodecs.ConfigCookieRequest	ConfigurationBindings
Common	CookieResponse	CookieResponse.Configuration	Configuration	cookie_response	Serverbound	LoginFamilyPackets.Config.CookieResponse	ServerboundConfigCookieResponsePacket	ConfigurationCodecs.ConfigCookieResponse	ConfigurationBindings
Common	CustomClickAction	CustomClickAction.Configuration	Configuration	custom_click_action	Serverbound	LoginFamilyPackets.Config.CustomClickAction	ServerboundConfigCustomClickActionPacket	ConfigurationCodecs.CustomClickAction	ConfigurationBindings
Configuration	CustomPayload	CustomPayload	Configuration	custom_payload	Clientbound,Serverbound	LoginFamilyPackets.Config.CustomPayload,LoginFamilyPackets.Config.CustomPayloadServerbound	ClientboundConfigCustomPayloadPacket,ServerboundConfigCustomPayloadPacket	ConfigurationCodecs.ConfigCustomPayloadClient,ConfigurationCodecs.ConfigCustomPayloadServer	ConfigurationBindings
Common	CustomReportDetails	CustomReportDetails.Configuration	Configuration	custom_report_details	Clientbound	LoginFamilyPackets.Config.CustomReportDetails	ClientboundConfigCustomReportDetailsPacket	ConfigurationCodecs.CustomReportDetails	ConfigurationBindings
Common	Disconnect	Disconnect.Configuration	Configuration	disconnect	Clientbound	LoginFamilyPackets.Config.Disconnect	ClientboundConfigDisconnectPacket	ConfigurationCodecs.DisconnectV1_20_2,ConfigurationCodecs.DisconnectV1_20_3,ConfigurationCodecs.DisconnectV1_21_5	ConfigurationBindings
Configuration	FinishConfiguration	FinishConfiguration	Configuration	finish_configuration	Clientbound,Serverbound	ConfigurationPackets.Clientbound.FinishConfiguration,ConfigurationPackets.Serverbound.FinishConfiguration	ClientboundFinishConfigurationPacket,ServerboundFinishConfigurationPacket	ConfigurationCodecs.FinishClient,ConfigurationCodecs.FinishServer	ConfigurationBindings
Common	KeepAlive	KeepAlive.Configuration	Configuration	keep_alive	Clientbound,Serverbound	ConfigurationPackets.Clientbound.KeepAlive,ConfigurationPackets.Serverbound.KeepAlive	ClientboundConfigKeepAlivePacket,ServerboundConfigKeepAlivePacket	ConfigurationCodecs.KeepAliveClient,ConfigurationCodecs.KeepAliveServer	ConfigurationBindings
